N,P,K,temperature,humidity,ph,rainfall,label
74,42,45,28.535702111140388,74.70350976282435,7.130509825239224,298.20486330252277,rice
82,50,59,20.754164974978934,83.68373077555825,6.358174467206629,200.86509558448665,rice
89,51,49,22.257731039417834,74.60106367693498,6.938862946668237,249.23313913749035,rice
70,48,43,24.079522301419004,83.68580493624427,5.428488662248752,233.12024421159902,rice
77,48,49,31.6718237887184,77.88505109864766,6.566997237077705,237.3157438633363,rice
64,45,48,20.35309289197364,72.55960092732218,6.384305489595464,212.75374199203125,rice
62,45,41,25.409851848911433,77.82238777863935,6.753675588851939,288.10730327725634,rice
69,55,42,29.335231409369044,86.38247685222512,7.420265749509389,167.97341922879588,rice
71,43,55,21.927251782131272,78.83468578806722,6.1509330614114095,164.33513717997545,rice
71,43,42,32.954384535899614,76.62753476337048,6.165897308797154,183.3362848411291,rice
75,56,47,23.90634713720395,72.87436344925868,5.846580195403421,250.2265676625268,rice
87,58,58,30.882729464343747,75.21106500171214,7.106739056033902,229.98124629985267,rice
63,56,46,26.711195569449593,81.78322103075618,6.6973460529413105,158.69378995943242,rice
79,42,42,31.28947394017362,77.87873322161997,5.847790688944961,280.0202905635746,rice
80,54,40,26.468990584269292,72.21442893584351,6.571225601903406,197.89534050978477,rice
78,47,57,27.835929084670354,86.2269318878549,6.48567859712691,194.95926987704212,rice
74,50,48,33.84339307964434,83.76149448580641,6.907352129904567,169.8379767585164,rice
64,47,57,33.315335755811724,72.1426987589176,5.787128727588058,157.75280013253473,rice
77,50,52,29.219819107397875,86.71434561095285,6.563279591885374,246.96969284294306,rice
67,50,52,29.89113714201706,82.95297753737127,5.471197634298603,296.4977886045676,rice
74,56,57,24.726145840263694,81.47535936186569,6.28509021013888,193.77881407022628,rice
70,50,50,20.923583405063592,73.68391985718854,5.64505019908464,272.4663283795321,rice
62,43,54,20.48952820804206,83.25025862619806,6.124332772892409,292.78316140682693,rice
75,42,46,33.013776699767675,87.03047086572448,7.178368811884596,191.19537733749493,rice
68,51,40,30.68184719373256,71.34346970910315,7.184847655355803,201.5658127969042,rice
69,49,49,23.090939221465028,70.31173742435207,6.818046550374806,223.4052716219694,rice
62,47,53,28.544665454720246,84.37146389690496,6.509054124795199,171.28892003380778,rice
72,53,53,24.81913786193078,83.1732631716589,5.204684692790252,222.25641978538613,rice
77,40,42,25.814550038362633,89.27323138891086,6.718348353226546,172.27391318751845,rice
72,59,43,29.39164452505064,75.17504867561601,7.448241932275462,274.4252318867646,rice
71,54,51,21.37947581469103,72.48090739451199,6.945346605413965,208.361103386518,rice
78,49,40,24.63324426627897,83.92213834465664,5.393107319149401,201.76370027230269,rice
63,45,47,32.67194972724174,80.30997643617577,6.091549529652404,240.9783337330354,rice
60,54,40,32.85478066704822,89.61090179595067,5.808262190687113,241.0922437679684,rice
73,46,41,23.712748875465206,80.17611115649515,7.4178825069996215,190.892313555716,rice
68,41,42,27.86578987228645,75.9664861515083,6.23900238815175,185.03174051256835,rice
86,45,59,20.553850954234502,81.51596979524493,6.831109263213444,287.2949362680788,rice
85,44,44,32.57855660703122,77.9632656422738,5.551234958791615,177.6254490741321,rice
62,40,52,27.273909237274236,80.38777019238812,7.0914132184535585,282.828582788874,rice
76,46,49,26.076853696666586,89.9880453720094,6.9376620350152844,222.4286312928064,rice
86,45,53,30.16487920148579,76.20735318574737,7.307714056112918,189.48367184240544,rice
88,55,56,25.673976946690026,80.3552425346548,6.283565422270165,263.77770229420685,rice
85,54,48,29.12058962834976,89.48332679503602,6.0934508673900805,280.00015739129844,rice
73,42,47,34.0621188508167,81.34698246834935,5.8016004047116345,260.53618373488416,rice
74,43,51,33.10223859004825,84.84873612455996,5.148774128655968,164.37458645645677,rice
64,48,54,21.95174597855595,84.83375489726944,6.539500253034264,197.00940720432783,rice
86,58,54,27.446022408322477,81.80351103447445,5.054741464894642,200.70638584786306,rice
71,47,44,34.74655322393744,79.14104261177685,7.155120284451637,257.66931751516836,rice
88,49,56,30.660325986576535,77.4946835533392,6.98249860225021,290.0531510783635,rice
60,50,57,26.287436110799362,77.45978514853604,5.612630642626515,194.36256495561582,rice
77,53,57,20.555612794581066,78.98370097893996,5.994562791318114,292.8111380796283,rice
86,43,53,24.160199921736243,70.3791055772661,6.5746761852040025,266.14449379108845,rice
60,51,56,21.16293396513159,73.8936794117747,7.126290476023274,262.4259207627082,rice
86,43,41,26.89723887917431,80.30093675542125,5.593098319877628,246.84026656377196,rice
63,59,53,20.31327550722626,73.6536390014426,6.85104454212667,273.0758634760206,rice
77,55,59,32.81058466805503,75.43833688808823,5.881183253098521,220.84846732859097,rice
67,55,46,24.57912381429411,86.20303009953746,5.515002791178,188.143532536471,rice
85,58,49,22.618538111420158,81.00242471294983,6.517226913108326,156.51530799044423,rice
72,40,59,20.50057096114714,75.21287384353526,6.509270695609773,226.95508066789284,rice
73,42,43,20.740704619353348,84.02896851147166,5.159230182384315,267.9848198974429,rice
74,59,56,28.374257386644466,86.9810019980307,5.588579768311136,236.99750843136832,rice
74,40,48,24.630566500454734,85.06417489944917,6.8184231053731015,207.21600412512512,rice
64,42,55,29.573632780578357,70.49785131051638,5.460590244331429,254.90741918976826,rice
76,52,58,23.374529676776994,72.19782692093737,5.3836771084027175,232.67626533966808,rice
73,59,50,23.539783693583907,77.03361095754839,6.403525301309213,158.87434591664064,rice
83,58,50,21.330614451077754,79.6118590749034,6.146350440806074,182.28461753828276,rice
68,57,47,27.445187277715153,83.55054120357256,7.275294950852276,180.022817016848,rice
81,58,45,33.366775671292615,74.02120806694244,5.616712950852917,275.88483442766324,rice
74,53,46,21.502479968206735,75.8279610162504,6.696107676738945,172.6030673178305,rice
96,54,58,25.089867366497714,66.58054254784798,5.703162976379655,85.3642535861361,maize
72,57,56,29.321192382720053,69.74197326582133,6.081743236749104,107.75779457530504,maize
87,45,44,27.419871909847366,55.59613765187554,5.722814112961221,66.52162057724595,maize
92,44,56,28.850287136930127,61.24887129706924,6.927314174898049,90.90104567850243,maize
96,41,43,23.42233715238224,67.903856868587,6.576930290996465,64.08379908584303,maize
71,41,40,20.092537374489094,69.02533570591986,5.957908642907937,66.37215897657609,maize
71,58,52,28.13305416697363,58.87039002812748,7.043569943510361,100.04896909463915,maize
75,54,43,25.31086709967365,67.22667634183887,6.871116798956555,68.71943461614282,maize
95,45,46,21.343872658733947,65.22576116058809,7.123667559465398,85.84074180728395,maize
99,55,55,27.437082367791497,59.734299223091725,5.877029803113108,73.56606263734852,maize
75,57,52,21.24174429271247,55.68074255715917,5.929823736014354,106.35007097711492,maize
63,49,53,29.678298675101544,64.84756826372092,6.499016762368112,97.82527291312243,maize
78,44,56,25.851618389455087,53.562739602846754,7.4753798659244,102.18109739422425,maize
63,46,40,24.869129033819036,61.6392169940292,6.957877935180923,62.668667849111266,maize
92,40,43,20.831081905720314,67.23961599659158,7.315824608182737,98.25254403904758,maize
90,50,58,29.454717285501665,51.16563623802865,5.8256699535063055,82.55378293559365,maize
99,54,59,23.60302952478228,56.595184559688846,6.782754893738415,96.40159809319135,maize
74,40,43,18.833044933533778,51.14897877035601,6.443381378014179,95.93442854145113,maize
70,42,48,24.70206466776681,66.64989348523105,7.328139476760644,91.57675734956945,maize
92,53,57,29.761157196797626,50.82267509932809,6.182694771876587,95.07725258158499,maize
82,41,49,24.232006274077584,56.85134737579977,6.915691920646412,107.36343611713815,maize
63,40,52,29.859333688274432,58.33752526306078,6.390729828922188,83.27283981446388,maize
99,58,48,29.309306815948105,58.293641074599535,5.749541125437067,78.0085242102234,maize
66,41,56,29.648155320027882,57.23451275768953,7.44002491703759,103.08067317357967,maize
81,53,42,25.170605132043942,66.64627575084377,5.555835371620494,85.70242000624236,maize
90,57,42,27.82406975744494,66.07513363816658,5.611189002761526,97.50774612727463,maize
96,43,57,29.811418289244934,60.265045140526226,6.367750040959491,81.4710441536148,maize
92,56,56,28.429391973456227,52.40214951654278,5.684637488311965,62.512532273369075,maize
92,41,53,24.757484825629973,56.92933225830394,7.129520640200087,94.19719891562156,maize
91,47,44,27.909875933767225,69.47668470306215,6.0977032662763895,79.02875041642737,maize
80,58,41,19.038644478993003,66.15962723724823,6.239564227143974,93.40665698127002,maize
76,43,51,28.115050247395253,67.493587460278,6.1932005035329025,92.56212235230865,maize
84,46,50,27.343696226195544,68.49144782340792,7.059342430223795,104.45195160716315,maize
80,50,59,27.22743574289585,67.76441981180336,5.912866538437914,107.94239601216503,maize
67,50,55,28.422233502027957,60.32179829253937,6.414353726981658,102.18735299500105,maize
70,53,54,27.590784544786864,64.59583782230041,6.7368293021292445,104.67021409542758,maize
64,59,48,24.96084696429476,65.8470055740944,7.48582935877597,86.8943642978776,maize
70,59,44,26.522859704531562,56.33623849587004,7.0207962922481535,73.62455311511206,maize
75,40,47,28.257873049782454,60.66829653799009,5.571663096367872,66.39549818335433,maize
90,47,49,18.258521622561943,60.076694950135945,5.571743276045087,108.38420110771827,maize
85,52,45,26.346747573945883,63.1934937557962,5.782384540255686,95.9010732059761,maize
90,50,54,27.4945150125088,59.99821423150112,5.60769223683182,100.16395097560417,maize
98,55,58,28.753811085943457,58.45568343783804,7.247893313549517,83.38691565147661,maize
81,47,42,26.214694683807103,65.40041885515346,6.055030435913988,94.76895043811521,maize
65,55,41,28.520669809346312,55.381009591263805,7.301637687761831,73.79597895586659,maize
72,53,57,24.961111520692413,69.64849962990661,7.39221244012706,73.03945808342888,maize
76,49,58,18.409588395584887,57.83092691859723,6.83617093842946,97.91795789942705,maize
72,58,44,26.51187441835055,62.977574174078875,6.790031448709165,60.79565944797964,maize
69,56,49,18.721245030861315,51.531466679346956,7.293418193248933,108.97141463665972,maize
73,53,50,27.978914378285957,58.3135993615465,6.514391594628255,90.80161533422283,maize
96,53,58,29.018936622966994,64.92926987297042,6.831858124267774,91.09908249898737,maize
93,59,53,29.542959524461587,51.742777392851984,7.118508956475601,75.93915139382452,maize
69,56,42,20.158555456249,52.93935143699199,5.977127050787265,87.31979815821111,maize
76,41,45,25.78178900797638,52.958613385612864,6.939074153737647,85.68597380264889,maize
75,58,53,25.63661500473571,55.33165794288302,7.151140162253824,73.02881188002763,maize
70,41,42,21.172034957029187,69.55109779581296,7.402655886407016,77.67571695089408,maize
77,44,45,20.307390732149404,61.01639869031054,5.666539456673899,76.57064824792442,maize
90,56,47,22.489659023703176,65.76769998922319,5.8150511570873045,60.96745947446787,maize
67,44,55,23.479660897729246,50.344086617770046,6.260191709802694,94.35742162053864,maize
74,48,41,29.80748813119569,55.771408375992,6.597509503440679,99.53899148009583,maize
98,40,52,25.30067450699554,54.96719973737229,7.2924383876432195,94.82580759613325,maize
69,48,59,24.23183848883408,62.87963251451224,6.148714099525094,94.00351907708855,maize
73,56,49,19.89456322399988,56.93526121210888,6.517981589034099,93.36988649975457,maize
60,40,51,20.760862509581003,59.43612452159539,5.900539292132976,109.42347486161194,maize
91,40,57,28.318747917748922,68.69549507347865,6.005065582716437,91.43559584539847,maize
73,45,59,22.514112412769173,51.211567344685676,6.216537825047809,97.9459455896666,maize
89,41,59,25.834165232804708,57.93742169465711,5.802195304056114,89.65522046648223,maize
70,49,41,18.564943533326755,52.8490635193438,5.812515344787396,102.04220542828897,maize
69,53,49,22.487471569882374,56.807847528095486,6.643283292033306,71.15264295802724,maize
72,44,50,29.628546323853143,61.64314949033891,6.997905839144051,85.19468485259074,maize
72,44,58,19.555387571761038,69.79131267471337,7.198460366324754,100.39687580013221,maize
87,58,43,22.24622674334109,57.6482381594665,5.614604754969481,86.36685381853292,maize
94,41,44,18.3289711724304,64.33977405294797,6.26170303296932,82.21309526167987,maize
88,44,57,19.36663901375063,58.34870706410253,6.161075207608669,100.99201472590303,maize
83,48,55,18.6291790737117,54.84240476071959,7.150259948504353,68.11453848483865,maize
68,57,40,23.914184527278927,68.52626808667422,6.572494756190194,62.31353160782432,maize
60,49,43,21.060317101672712,68.48676249665266,6.789765183731273,70.60670045958175,maize
68,48,50,18.150088013060383,59.173223193761046,6.5944794354830245,66.95706852714541,maize
97,56,49,23.343988624465986,67.8287001356328,7.094227375912935,85.54333708537408,maize
73,52,45,27.98533886205744,51.217014100261075,6.203759648248505,80.86405830467922,maize
76,54,59,22.65900692625157,65.78530551769046,6.237687449951435,70.93071613042808,maize
69,42,48,22.95689191267821,61.779535911625494,5.7305885148273,107.73635164647919,maize
93,58,53,27.979368592936034,50.22463411432471,5.57244625306076,84.0555146375251,maize
64,56,53,19.361264106831698,60.210784831422615,7.074540079546325,98.98957818340493,maize
67,59,58,29.333889633519252,51.52693102922772,6.381287553146257,75.53456620482307,maize
95,46,48,18.825753297305262,61.12382699233486,5.793089255055504,108.76826343610895,maize
77,57,51,19.78578060120003,64.42210356205833,6.061090667657891,60.636591524991445,maize
73,56,50,28.591409255882255,55.2942414846543,6.798213675865566,67.014289635847,maize
61,52,56,23.682153434874007,54.42962417300538,6.457147595106792,103.41792410744713,maize
94,47,55,20.258561272480694,50.72077166563694,5.50340892857606,74.67124543528423,maize
99,55,42,23.006553467978033,50.34451064917225,7.406633436060151,67.56656626313236,maize
68,49,52,23.621005525440175,56.72322769366761,5.712845162481283,79.31856570070138,maize
77,42,52,27.509709854467612,69.06566858747335,7.198533284317819,108.35716832175783,maize
69,57,56,22.516318209601412,60.77285488902099,5.769187256651242,107.18161734762276,maize
83,59,43,23.258653487216154,54.66799614791266,6.341071216622915,87.11406478240522,maize
86,59,46,28.266971888463164,54.36570997795549,6.088662650295226,73.77699539464138,maize
96,48,40,24.86638209864764,60.99937130877369,6.296091991309544,103.65716283727815,maize
79,41,58,19.20801510099595,67.65211431538144,7.429401881199576,61.030690371799764,maize
83,44,52,22.065987499283086,53.481268214492104,6.179949469926003,82.11365014729788,maize
98,42,41,26.13471333366867,55.65744251942412,6.408552582748728,96.7886142606431,maize
33,56,36,22.824964085200968,44.10255372937418,5.633389584595667,78.28380001718332,chickpea
26,45,28,18.614202211000205,57.33746725125927,6.1134997635848265,74.15322169941021,chickpea
32,45,30,25.745736422601908,52.73318611611274,6.823619132640177,76.62680800809426,chickpea
34,52,28,28.906294982633415,47.590789859051824,6.210469565085921,75.72838719021689,chickpea
26,42,27,18.137199006036628,48.24693246051881,6.198646209250547,73.50584213258058,chickpea
34,53,32,22.944620884400816,44.31459246620848,7.38393069082809,65.8045607005983,chickpea
38,48,37,21.6496801491682,42.14968513102886,6.910976741218218,80.01700668948516,chickpea
30,48,35,28.182555711138757,49.10952195619147,7.49692947047043,74.42108864778334,chickpea
36,59,21,17.190137208293535,50.90825268014504,6.083260155969288,67.0374416886835,chickpea
28,40,34,22.676514550404807,55.435160627944896,6.294214758894027,77.36260401519087,chickpea
36,58,37,20.52056192099979,56.85219455148892,6.706847272080755,82.71703238755805,chickpea
33,51,38,21.050484888780936,51.774426462117475,7.035325630142878,84.5415159183061,chickpea
24,48,24,22.885843624634663,53.04731838575806,5.6970031618671495,61.19630592414897,chickpea
35,42,25,16.487562008691338,56.112774883377384,5.659329421952113,78.65938233203845,chickpea
27,42,22,29.591036412609775,51.22822537786743,7.032526134504672,75.23720931670088,chickpea
37,43,20,15.3679341304833,45.17587399679978,6.6917342087676985,87.2885084396588,chickpea
30,49,33,28.451274584247805,53.042754942815336,6.745312824652114,79.36725484384615,chickpea
26,54,29,20.013231902572752,49.48185702448949,6.3255731270042785,75.67019128263291,chickpea
28,43,37,15.903688728214206,43.046789521466884,6.01272806641047,87.69175722737809,chickpea
32,59,22,17.950799578133754,45.071876909059654,6.872459766536667,66.86624825405963,chickpea
20,53,35,21.16845600205212,52.23778720612468,5.530348512715383,78.30947223206329,chickpea
23,57,23,23.36121914186264,53.11606567319225,7.023614025947919,78.59323865633527,chickpea
33,45,36,27.0989470795392,47.99738071166575,7.213344083079477,68.77691723966737,chickpea
29,40,32,16.022791433676748,55.134764437868014,7.388427094312008,87.94704871655917,chickpea
35,55,27,17.96448292527739,48.13130794763553,6.059945145760783,67.94311881687301,chickpea
37,48,36,15.532116756293625,54.873378864111544,7.317499731577714,70.58488991218402,chickpea
34,58,20,28.53578656448863,55.00759992753167,7.4599598302776196,66.31912398531614,chickpea
26,40,38,18.421798826097426,42.099110227630575,5.782365784877115,85.2313596376442,chickpea
23,51,23,28.107484703572236,53.8935429368607,5.551214774625474,79.3871873703436,chickpea
26,57,35,18.838676199381304,55.30639040332155,6.7105067667896385,64.28299685134373,chickpea
22,51,24,17.06545330107089,41.45732577011106,5.755602541671599,77.49147560496297,chickpea
37,46,26,27.24567964307378,58.027730293653775,6.298937660739457,64.85232770392848,chickpea
38,48,26,23.817475570620154,52.88211202137856,6.480778553820077,76.75428702671239,chickpea
26,43,22,18.6827698001596,54.73412777244701,6.15276693753015,60.51000738958908,chickpea
32,50,22,16.315795570395615,53.68486108624411,6.876723530387141,61.51883120410181,chickpea
34,52,26,28.37418120046953,55.839700672830325,7.488198197936991,65.44510433826703,chickpea
35,59,22,27.129743000483487,52.39835994312863,7.113901509736951,65.66866725111467,chickpea
31,42,31,19.667764716021846,55.891754888784575,6.464766285627311,87.1332316344807,chickpea
30,41,25,19.705330510678913,42.105366626635046,6.368350626627992,89.64387843486745,chickpea
29,45,24,22.240944146966505,47.158765884015494,7.302880610643613,71.72090288040235,chickpea
33,58,36,27.363188030154063,59.549871842022576,6.0961967811224,82.72273019133208,chickpea
26,43,22,27.435000521355242,44.87941106812125,5.518817540375603,75.88875826462959,chickpea
36,40,20,22.606856277847573,59.693559019187816,6.562153736918902,89.35205586751536,chickpea
29,55,39,29.907813927369972,47.09425790711873,7.472606379684601,83.25510053825305,chickpea
33,59,22,25.047199568457913,53.693868395240585,5.53179890539333,81.77266800936341,chickpea
31,54,34,15.641845181132588,59.432794331649845,6.1222154013015855,67.80822525456844,chickpea
31,58,37,20.093393576290154,55.681372836478324,5.699679622470318,62.383606587635875,chickpea
36,40,26,29.127092927006487,57.9141587878683,6.067741590011181,83.27435917805877,chickpea
38,56,39,15.032594536504948,57.17853371714727,5.661562868497608,86.90740982109813,chickpea
27,59,32,19.168813547660143,46.97464268357814,5.964929283844142,64.40055408254061,chickpea
30,57,39,22.46580971304415,43.30382586319385,5.783721780860016,76.43560346724446,chickpea
32,45,37,23.837928252631173,54.42854370612683,6.657656432798176,70.75417348583163,chickpea
21,45,25,29.276172562647286,51.70671844873475,5.814865306801283,60.698892723178865,chickpea
30,54,28,15.622478117785477,57.492008096804945,6.140314058679001,77.26269858726712,chickpea
37,58,30,28.718000507305,47.70976194075545,6.017883195844923,87.67308875675388,chickpea
28,42,38,15.520519457900411,59.909832746765254,6.762228477136197,87.60805735088022,chickpea
33,49,37,17.38496834058658,52.07632301410733,6.658989238936961,64.04628571969988,chickpea
25,50,31,22.435183178454622,59.12806792218315,6.6407399731647985,70.96153761679639,chickpea
34,53,25,22.231257294462097,54.72674493677818,5.79910478127447,77.8310955255442,chickpea
27,57,23,25.150841322949972,58.04940815575712,5.548566938721089,84.0479127760393,chickpea
22,45,28,17.346841909878982,51.44863300971308,6.949761844461519,69.16831381136852,chickpea
23,44,23,26.759463417484085,45.113478379972136,7.0683390673065,69.47677231492293,chickpea
28,44,21,24.093485379726765,47.73565410167798,6.120189203465598,62.90305183742099,chickpea
31,55,38,15.780877895100648,43.71027662944215,7.119970612807147,68.28640856817567,chickpea
32,41,31,29.914336829460545,45.98547198906666,5.863706962794767,75.53540491881199,chickpea
20,44,36,25.846377318582462,40.53464302230393,5.753869023726896,83.2067200951677,chickpea
26,58,24,29.509666173412548,45.01241864462471,6.221783705706225,86.23161863939404,chickpea
32,40,31,29.00034859290195,52.47779981079498,5.544909697071786,71.0803091337687,chickpea
36,51,35,21.749908340809448,46.73245568169055,6.139217757082134,81.1103069130748,chickpea
39,48,33,26.792934313659586,53.421261354707525,6.226816569816255,84.45076552965536,chickpea
21,49,32,28.297884425150883,51.3678944177384,6.928485828196156,64.76481368806786,chickpea
34,41,20,22.704103666652692,51.59254031474232,7.207126436970766,74.11422862772083,chickpea
35,46,37,28.74414479014616,44.666564435608436,6.252176940366062,77.07539401853413,chickpea
22,48,29,21.725810152279852,46.12577439567504,6.667984018695458,79.13497365506805,chickpea
31,48,31,19.736057014904524,58.1829023143673,6.038687946312205,74.16288158479335,chickpea
33,46,37,29.100365548292814,46.37174830155071,6.608358630825281,84.41423364099292,chickpea
38,57,29,27.197510559028437,55.97100429145925,6.18383803968574,72.26667264033865,chickpea
38,40,29,22.48278231434098,42.65074089560227,6.100793127999679,78.25209629569787,chickpea
22,53,22,23.006570756280745,49.61941259737703,7.422722054625452,80.73197013016282,chickpea
24,52,32,23.908085416847992,52.66553426762395,6.2923097634914225,79.47155608347519,chickpea
20,44,25,15.992720784047432,56.31488516160883,6.807666771140235,67.25189777730112,chickpea
39,41,32,29.580862449634278,49.81086191940788,5.687050745165324,86.58453489178828,chickpea
32,50,22,20.191923492404342,42.679595709421875,7.180335138605779,70.23614173605887,chickpea
29,46,22,17.264671882823336,47.655048227534934,5.598792006374744,66.28604060121882,chickpea
37,47,23,26.50782195913806,50.76039321207852,7.427130755915061,68.6421442099279,chickpea
30,49,32,29.233786938372234,56.59321300075764,6.835586595931572,73.1411555968499,chickpea
27,44,23,20.110385673771923,57.08101053128057,5.970744338819783,87.0324124923456,chickpea
26,48,23,20.776063401671284,58.69974632437952,6.6939611828695735,80.89705227641281,chickpea
23,58,36,15.289741553835126,47.153959462837676,6.246830800268537,76.52706013912558,chickpea
35,45,32,22.273805769374242,41.23847293682051,6.7075646407932705,80.37008982414794,chickpea
25,41,22,18.69152153218203,55.21948700650118,6.897602083971451,80.14407258597261,chickpea
34,41,38,18.226687764407135,42.007465197358464,6.761051049078994,62.2592371338832,chickpea
34,50,31,26.901601698539295,49.40201944987443,5.851188036995678,68.56553217929931,chickpea
20,58,21,25.2318192628396,47.60211856331611,7.173020576489261,75.61718391623273,chickpea
36,42,25,24.87005496504892,44.57294625237909,5.549185374628635,78.22278602987329,chickpea
30,58,36,24.189350629870134,54.83355125453858,5.988139875439855,66.58856365325643,chickpea
23,42,24,18.251427240272847,41.13113681827954,7.482628638869331,67.50932532544309,chickpea
29,48,29,24.997260437102856,46.35971990541948,5.549232720995435,62.95507507610049,chickpea
23,40,25,29.32032086584728,51.28464281085928,6.3961029176548925,82.83519549854026,chickpea
30,54,36,19.668035025003736,54.11817054552341,6.656000505590326,78.77495715039768,chickpea
27,53,34,21.16548226659915,46.43145802679361,6.2272434184249645,88.49336639847377,kidneybeans
36,45,22,18.31964535192044,46.22963014576707,6.8227181840872735,137.63008060939114,kidneybeans
21,53,26,22.493114781829846,49.47228915220318,6.722174650248732,72.6560402963603,kidneybeans
22,52,33,19.416256300042463,50.62976898603791,5.720449735294501,135.59240949502043,kidneybeans
28,52,39,20.601083829079407,48.19298897169401,5.781040044869481,144.80922605039655,kidneybeans
38,58,24,18.138608067841755,40.41938179261003,5.686610993526773,92.92166150484675,kidneybeans
26,43,23,24.89321079891844,51.959748822135204,6.612163877231767,107.45108179508858,kidneybeans
33,59,37,15.003511179523734,53.55278268290127,6.843511664552507,133.07156955453144,kidneybeans
22,56,28,15.092858187715962,49.10129197950951,6.411760723946227,125.63881660618371,kidneybeans
30,58,36,18.26483993772244,58.71577954678578,6.615588783721243,122.35060174099023,kidneybeans
36,41,35,16.924374118674578,52.304438030383466,6.085362641549596,85.08271359053036,kidneybeans
37,43,21,21.54780468044056,43.76389336736722,6.279125295579905,100.21102599624116,kidneybeans
29,59,32,21.244937831673166,55.04735606341423,5.757097500491492,146.09055714334778,kidneybeans
27,56,37,23.737992899769587,42.455804662082386,6.419540650771596,121.4731639286431,kidneybeans
37,49,32,16.423935648871904,41.625087646192476,6.371928401457954,79.58591916159644,kidneybeans
25,47,35,15.784114543812237,42.382219291796716,6.481210130252272,88.31118073383485,kidneybeans
37,49,34,20.828726499382277,44.72989509621528,6.820365474483177,133.98486152138474,kidneybeans
24,58,26,21.647518239359496,54.72573142014227,6.5134882943831,140.80301137484616,kidneybeans
20,50,32,21.483528182125465,45.11774931173558,6.026175580071477,94.81290907706904,kidneybeans
26,40,31,21.74908613432465,59.564040626983015,6.930051139974207,115.10843947634083,kidneybeans
29,47,24,22.12260616027322,56.3992721703624,6.296790919885751,97.26253778195098,kidneybeans
39,46,39,23.345186709284974,56.82525785164756,6.261112999202419,93.32912646778345,kidneybeans
36,50,36,21.574118816909444,40.82653589804707,6.026406905630656,140.6025032879175,kidneybeans
29,42,23,16.317085726262746,57.534206993391784,6.794265030636439,105.04463450519637,kidneybeans
33,46,20,19.629700090310966,40.438320803051596,6.496173844064782,71.61099768190918,kidneybeans
27,43,22,17.846115359031465,54.655008517631515,6.186302521794728,102.84291393769125,kidneybeans
35,56,39,21.238842241487973,59.28217167060316,5.510472372770914,131.95672774615483,kidneybeans
35,42,34,17.906828007387045,59.993635971985796,6.461323879587154,132.23972007593977,kidneybeans
31,43,33,19.699062707842913,56.04714078907102,6.310465659769533,101.31425649598768,kidneybeans
20,58,28,22.43826751589213,59.667230732740045,6.81105900809531,70.47319622939011,kidneybeans
31,40,31,24.066620848798216,44.10330355688709,5.925753180347148,70.90269469973987,kidneybeans
